Wall time,Step,Value
1651426234.3020864,0,0.29196110367774963
1651426240.6115713,100,0.016232887282967567
1651426246.7946043,200,0.0136410566046834
1651426253.1708784,300,0.011543001048266888
1651426259.3881898,400,0.001447727787308395
1651426265.611293,500,0.0005770315765403211
1651426271.80579,600,0.0006522788899019361
1651426277.9055078,700,0.0002564996830187738
1651426284.0616415,800,0.0010997740318998694
1651426290.2690964,900,0.00021549419034272432
1651426296.4301236,1000,0.000204829266294837
1651426302.6199803,1100,0.0001991049648495391
1651426308.7697194,1200,0.00019493140280246735
1651426314.899758,1300,0.00019037691527046263
1651426321.0466635,1400,0.0001834764116210863
1651426327.25431,1500,0.00017834387836046517
1651426333.508611,1600,0.00017247658979613334
1651426339.827977,1700,0.000167109610629268
1651426346.257758,1800,0.00016096017498057336
1651426352.6345317,1900,0.0001567035651532933
1651426359.0556035,2000,0.0001765923370840028
1651426365.3913918,2100,0.00014530718908645213
1651426371.7355957,2200,0.00014104619913268834
1651426378.0791774,2300,0.00013694752124138176
1651426384.454954,2400,0.00013190029130782932
1651426390.8128457,2500,0.00012702340609394014
1651426397.2018726,2600,0.00012105188943678513
1651426403.5839694,2700,0.0001153724078903906
1651426409.8842034,2800,0.00010969384311465546
1651426416.23412,2900,0.00010425172513350844
1651426422.635564,3000,9.868881170405075e-05
1651426428.9487894,3100,9.345297439722344e-05
1651426435.3280046,3200,8.978114783531055e-05
1651426441.7178228,3300,8.603555761510506e-05
1651426448.1301944,3400,8.17765248939395e-05
1651426454.5032966,3500,7.728346827207133e-05
1651426460.8930092,3600,7.29686944396235e-05
1651426467.2070343,3700,6.859912537038326e-05
1651426473.5628948,3800,6.37157863820903e-05
1651426480.039835,3900,5.929588951403275e-05
1651426486.559328,4000,5.385814802139066e-05
1651426492.9949372,4100,5.1519346015993506e-05
1651426499.4098585,4200,4.88301448058337e-05
1651426505.8209913,4300,4.6262874093372375e-05
1651426512.391291,4400,4.350518065621145e-05
1651426518.9357316,4500,4.089388676220551e-05
1651426525.5784,4600,3.824405212071724e-05
1651426532.0884194,4700,3.517370350891724e-05
1651426538.5160496,4800,3.2687421480659395e-05
1651426544.9807694,4900,3.023789031431079e-05
1651426551.292711,5000,2.702846541069448e-05
1651426557.5968807,5100,2.5975827156798914e-05
