It: 0, Loss: 4.484e+03, l1: 0.010, l2: 0.01000, Time: 0.04
It: 100, Loss: 7.845e+02, l1: 0.184, l2: 0.02837, Time: 3.66
It: 200, Loss: 7.772e+02, l1: 0.101, l2: -0.00998, Time: 4.41
It: 300, Loss: 7.712e+02, l1: 0.127, l2: 0.03419, Time: 4.11
It: 400, Loss: 7.629e+02, l1: 0.137, l2: 0.09920, Time: 4.40
It: 500, Loss: 7.462e+02, l1: 0.116, l2: 0.03331, Time: 4.37
It: 600, Loss: 6.875e+02, l1: 0.071, l2: 0.00036, Time: 4.05
It: 700, Loss: 5.862e+02, l1: -0.010, l2: -0.00151, Time: 4.21
It: 800, Loss: 5.490e+02, l1: -0.003, l2: -0.00143, Time: 4.06
It: 900, Loss: 5.333e+02, l1: 0.015, l2: -0.00039, Time: 4.44
It: 1000, Loss: 5.204e+02, l1: 0.037, l2: 0.00036, Time: 4.29
It: 1100, Loss: 4.931e+02, l1: 0.251, l2: 0.01070, Time: 4.69
It: 1200, Loss: 4.557e+02, l1: 0.638, l2: 0.02565, Time: 4.72
It: 1300, Loss: 4.048e+02, l1: 0.768, l2: 0.02971, Time: 4.41
It: 1400, Loss: 3.374e+02, l1: 0.802, l2: 0.02544, Time: 4.05
It: 1500, Loss: 2.778e+02, l1: 0.794, l2: 0.02064, Time: 4.33
It: 1600, Loss: 2.610e+02, l1: 0.795, l2: 0.01914, Time: 4.23
It: 1700, Loss: 2.447e+02, l1: 0.798, l2: 0.01824, Time: 4.49
It: 1800, Loss: 2.253e+02, l1: 0.800, l2: 0.01684, Time: 4.39
It: 1900, Loss: 2.049e+02, l1: 0.799, l2: 0.01621, Time: 3.99
It: 2000, Loss: 1.833e+02, l1: 0.798, l2: 0.01724, Time: 4.67
It: 2100, Loss: 1.654e+02, l1: 0.800, l2: 0.01619, Time: 4.63
It: 2200, Loss: 1.514e+02, l1: 0.804, l2: 0.01563, Time: 3.94
It: 2300, Loss: 1.416e+02, l1: 0.811, l2: 0.01501, Time: 4.40
It: 2400, Loss: 1.360e+02, l1: 0.815, l2: 0.01527, Time: 4.05
It: 2500, Loss: 1.322e+02, l1: 0.821, l2: 0.01365, Time: 4.84
It: 2600, Loss: 1.290e+02, l1: 0.823, l2: 0.01345, Time: 4.29
It: 2700, Loss: 1.254e+02, l1: 0.827, l2: 0.01312, Time: 4.27
It: 2800, Loss: 1.222e+02, l1: 0.829, l2: 0.01270, Time: 4.46
It: 2900, Loss: 1.194e+02, l1: 0.831, l2: 0.01265, Time: 4.20
It: 3000, Loss: 1.170e+02, l1: 0.833, l2: 0.01239, Time: 4.05
It: 3100, Loss: 1.149e+02, l1: 0.836, l2: 0.01218, Time: 4.55
It: 3200, Loss: 1.129e+02, l1: 0.838, l2: 0.01197, Time: 4.75
It: 3300, Loss: 1.112e+02, l1: 0.840, l2: 0.01173, Time: 4.42
It: 3400, Loss: 1.097e+02, l1: 0.844, l2: 0.01027, Time: 4.35
It: 3500, Loss: 1.079e+02, l1: 0.846, l2: 0.01141, Time: 4.28
It: 3600, Loss: 1.066e+02, l1: 0.848, l2: 0.01125, Time: 4.00
It: 3700, Loss: 1.054e+02, l1: 0.850, l2: 0.01114, Time: 4.49
It: 3800, Loss: 1.044e+02, l1: 0.851, l2: 0.01123, Time: 4.32
It: 3900, Loss: 1.035e+02, l1: 0.853, l2: 0.01118, Time: 4.10
It: 4000, Loss: 1.026e+02, l1: 0.854, l2: 0.01119, Time: 4.32
It: 4100, Loss: 1.019e+02, l1: 0.855, l2: 0.01075, Time: 3.97
It: 4200, Loss: 1.010e+02, l1: 0.856, l2: 0.01127, Time: 4.28
It: 4300, Loss: 1.002e+02, l1: 0.856, l2: 0.01127, Time: 3.96
It: 4400, Loss: 9.951e+01, l1: 0.857, l2: 0.01160, Time: 4.72
It: 4500, Loss: 9.886e+01, l1: 0.858, l2: 0.01142, Time: 4.59
It: 4600, Loss: 9.826e+01, l1: 0.858, l2: 0.01146, Time: 4.06
It: 4700, Loss: 9.768e+01, l1: 0.859, l2: 0.01163, Time: 4.85
