It: 0, Loss: 8.944e-01, lamd1: 0.000, lamd2: -0.00002, Time: 0.20
It: 100, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02552, Time: 8.20
It: 200, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.22
It: 300, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.01
It: 400, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.02
It: 500, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 7.98
It: 600, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.14
It: 700, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.22
It: 800, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.01
It: 900, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.65
It: 1000, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.81
It: 1100, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.74
It: 1200, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.77
It: 1300, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.63
It: 1400, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.55
It: 1500, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.63
It: 1600, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.14
It: 1700, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.28
It: 1800, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.00
It: 1900, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.68
It: 2000, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.07
It: 2100, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.97
It: 2200, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.87
It: 2300, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.59
It: 2400, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.53
It: 2500, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.58
It: 2600, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.82
It: 2700, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.76
It: 2800, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.14
It: 2900, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.27
It: 3000, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.21
It: 3100, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.11
It: 3200, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.08
It: 3300, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.97
It: 3400, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.02
It: 3500, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.94
It: 3600, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.09
It: 3700, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.98
It: 3800, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.09
It: 3900, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 9.33
It: 4000, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.77
It: 4100, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.23
It: 4200, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.03
It: 4300, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 7.68
It: 4400, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 7.92
It: 4500, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.19
It: 4600, Loss: 8.945e-01, lamd1: -0.014, lamd2: -0.02556, Time: 8.15
It: 4700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.14
It: 4800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.28
It: 4900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.07
It: 5000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.06
It: 5100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.01
It: 5200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.05
It: 5300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.11
It: 5400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.03
It: 5500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.08
It: 5600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.94
It: 5700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.77
It: 5800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.10
It: 5900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.02
It: 6000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.02
It: 6100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.15
It: 6200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.10
It: 6300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.88
It: 6400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.61
It: 6500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.79
It: 6600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.93
