It: 0, Loss: 8.944e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.13
It: 100, Loss: 1.595e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.67
It: 200, Loss: 8.290e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.25
It: 300, Loss: 1.188e-01, lamd1: 1.000, lamd2: 0.01000, Time: 5.89
It: 400, Loss: 1.082e-01, lamd1: 1.000, lamd2: 0.01000, Time: 5.91
It: 500, Loss: 1.024e-01, lamd1: 1.000, lamd2: 0.01000, Time: 5.85
It: 600, Loss: 9.699e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.29
It: 700, Loss: 9.595e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 800, Loss: 9.586e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 900, Loss: 9.539e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 1000, Loss: 9.468e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 1100, Loss: 9.466e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 1200, Loss: 9.447e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.02
It: 1300, Loss: 9.400e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 1400, Loss: 9.387e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 1500, Loss: 9.429e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 1600, Loss: 9.402e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.70
It: 1700, Loss: 9.400e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 1800, Loss: 9.426e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 1900, Loss: 9.436e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.42
It: 2000, Loss: 9.366e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 2100, Loss: 9.393e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 2200, Loss: 9.416e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 2300, Loss: 9.420e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 2400, Loss: 9.316e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 2500, Loss: 9.468e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 2600, Loss: 9.309e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 2700, Loss: 9.221e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 2800, Loss: 8.513e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 2900, Loss: 7.654e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 3000, Loss: 5.579e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 3100, Loss: 4.442e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 3200, Loss: 1.405e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 3300, Loss: 1.203e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 3400, Loss: 9.430e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 3500, Loss: 1.188e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 3600, Loss: 7.350e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.43
It: 3700, Loss: 5.487e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 3800, Loss: 4.897e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 3900, Loss: 5.475e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 4000, Loss: 4.233e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 4100, Loss: 4.464e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 4200, Loss: 3.421e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 4300, Loss: 3.982e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 4400, Loss: 3.715e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 4500, Loss: 3.185e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 4600, Loss: 2.661e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 4700, Loss: 5.627e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 4800, Loss: 2.700e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 4900, Loss: 3.327e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.67
It: 5000, Loss: 6.510e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 5100, Loss: 2.611e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 5200, Loss: 2.331e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 5300, Loss: 2.963e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 5400, Loss: 2.688e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 5500, Loss: 2.236e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 5600, Loss: 4.223e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 5700, Loss: 3.962e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 5800, Loss: 2.070e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 5900, Loss: 3.499e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 6000, Loss: 2.608e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.68
It: 6100, Loss: 1.768e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 6200, Loss: 1.749e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 6300, Loss: 2.586e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 6400, Loss: 1.954e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 6500, Loss: 2.094e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 6600, Loss: 2.281e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 6700, Loss: 3.032e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
