It: 0, Loss: 2.983e-01, nu: 0.020, Time: 0.30
It: 100, Loss: 1.878e-02, nu: 0.020, Time: 24.01
It: 200, Loss: 1.910e-02, nu: 0.020, Time: 24.88
It: 300, Loss: 6.788e-03, nu: 0.020, Time: 24.66
It: 400, Loss: 1.402e-02, nu: 0.020, Time: 24.96
It: 500, Loss: 1.066e-02, nu: 0.020, Time: 25.29
It: 600, Loss: 1.095e-02, nu: 0.020, Time: 25.30
It: 700, Loss: 1.131e-02, nu: 0.020, Time: 25.26
It: 800, Loss: 9.088e-03, nu: 0.020, Time: 25.58
It: 900, Loss: 1.451e-03, nu: 0.020, Time: 25.60
It: 1000, Loss: 2.560e-04, nu: 0.020, Time: 25.51
It: 1100, Loss: 1.812e-04, nu: 0.020, Time: 25.19
It: 1200, Loss: 1.450e-04, nu: 0.020, Time: 25.34
It: 1300, Loss: 1.038e-04, nu: 0.020, Time: 25.31
It: 1400, Loss: 6.595e-05, nu: 0.020, Time: 25.36
It: 1500, Loss: 4.964e-05, nu: 0.020, Time: 24.85
It: 1600, Loss: 4.739e-05, nu: 0.020, Time: 25.09
It: 1700, Loss: 2.087e-05, nu: 0.020, Time: 25.14
It: 1800, Loss: 2.257e-05, nu: 0.020, Time: 25.60
It: 1900, Loss: 1.388e-05, nu: 0.020, Time: 25.60
It: 2000, Loss: 2.819e-05, nu: 0.020, Time: 25.68
It: 2100, Loss: 9.629e-06, nu: 0.020, Time: 25.27
It: 2200, Loss: 8.390e-06, nu: 0.020, Time: 25.59
It: 2300, Loss: 7.449e-06, nu: 0.020, Time: 25.53
It: 2400, Loss: 7.017e-06, nu: 0.020, Time: 25.31
It: 2500, Loss: 6.330e-06, nu: 0.020, Time: 25.19
It: 2600, Loss: 5.844e-06, nu: 0.020, Time: 25.42
It: 2700, Loss: 5.370e-06, nu: 0.020, Time: 25.34
It: 2800, Loss: 5.073e-06, nu: 0.020, Time: 25.20
It: 2900, Loss: 4.641e-06, nu: 0.020, Time: 25.42
It: 3000, Loss: 4.456e-06, nu: 0.020, Time: 25.39
It: 3100, Loss: 4.218e-06, nu: 0.020, Time: 25.45
It: 3200, Loss: 4.063e-06, nu: 0.020, Time: 25.28
It: 3300, Loss: 3.904e-06, nu: 0.020, Time: 25.23
It: 3400, Loss: 3.804e-06, nu: 0.020, Time: 25.34
It: 3500, Loss: 3.663e-06, nu: 0.020, Time: 25.43
It: 3600, Loss: 3.500e-06, nu: 0.020, Time: 25.19
It: 3700, Loss: 3.404e-06, nu: 0.020, Time: 25.33
It: 3800, Loss: 3.271e-06, nu: 0.020, Time: 25.22
It: 3900, Loss: 3.158e-06, nu: 0.020, Time: 25.29
It: 4000, Loss: 3.016e-06, nu: 0.020, Time: 25.22
It: 4100, Loss: 2.930e-06, nu: 0.020, Time: 25.13
It: 4200, Loss: 2.886e-06, nu: 0.020, Time: 25.47
It: 4300, Loss: 2.854e-06, nu: 0.020, Time: 25.36
It: 4400, Loss: 2.757e-06, nu: 0.020, Time: 25.26
It: 4500, Loss: 2.709e-06, nu: 0.020, Time: 25.36
It: 4600, Loss: 2.654e-06, nu: 0.020, Time: 25.45
It: 4700, Loss: 2.575e-06, nu: 0.020, Time: 25.52
It: 4800, Loss: 2.508e-06, nu: 0.020, Time: 25.27
It: 4900, Loss: 2.448e-06, nu: 0.020, Time: 25.58
It: 5000, Loss: 2.370e-06, nu: 0.020, Time: 25.33
It: 5100, Loss: 2.333e-06, nu: 0.020, Time: 25.35
It: 5200, Loss: 2.296e-06, nu: 0.020, Time: 25.23
It: 5300, Loss: 2.262e-06, nu: 0.020, Time: 25.28
It: 5400, Loss: 2.229e-06, nu: 0.020, Time: 25.25
It: 5500, Loss: 2.191e-06, nu: 0.020, Time: 25.34
It: 5600, Loss: 2.163e-06, nu: 0.020, Time: 25.30
It: 5700, Loss: 2.112e-06, nu: 0.020, Time: 25.34
It: 5800, Loss: 2.087e-06, nu: 0.020, Time: 25.40
It: 5900, Loss: 2.027e-06, nu: 0.020, Time: 25.68
It: 6000, Loss: 1.997e-06, nu: 0.020, Time: 25.49
It: 6100, Loss: 1.970e-06, nu: 0.020, Time: 25.26
It: 6200, Loss: 1.962e-06, nu: 0.020, Time: 25.45
It: 6300, Loss: 1.923e-06, nu: 0.020, Time: 25.27
It: 6400, Loss: 1.903e-06, nu: 0.020, Time: 25.19
It: 6500, Loss: 1.867e-06, nu: 0.020, Time: 25.30
It: 6600, Loss: 1.842e-06, nu: 0.020, Time: 25.27
It: 6700, Loss: 1.805e-06, nu: 0.020, Time: 25.39
It: 6800, Loss: 1.804e-06, nu: 0.020, Time: 25.52
It: 6900, Loss: 1.780e-06, nu: 0.020, Time: 25.45
It: 7000, Loss: 1.747e-06, nu: 0.020, Time: 25.54
It: 7100, Loss: 1.733e-06, nu: 0.020, Time: 25.34
It: 7200, Loss: 1.721e-06, nu: 0.020, Time: 25.54
It: 7300, Loss: 1.702e-06, nu: 0.020, Time: 25.22
It: 7400, Loss: 1.687e-06, nu: 0.020, Time: 25.23
It: 7500, Loss: 1.675e-06, nu: 0.020, Time: 25.28
It: 7600, Loss: 1.653e-06, nu: 0.020, Time: 25.03
It: 7700, Loss: 1.643e-06, nu: 0.020, Time: 25.17
It: 7800, Loss: 1.611e-06, nu: 0.020, Time: 25.19
It: 7900, Loss: 1.588e-06, nu: 0.020, Time: 24.98
It: 8000, Loss: 1.585e-06, nu: 0.020, Time: 25.17
It: 8100, Loss: 1.563e-06, nu: 0.020, Time: 25.04
It: 8200, Loss: 1.564e-06, nu: 0.020, Time: 24.92
It: 8300, Loss: 1.534e-06, nu: 0.020, Time: 24.88
It: 8400, Loss: 1.527e-06, nu: 0.020, Time: 24.95
It: 8500, Loss: 1.521e-06, nu: 0.020, Time: 24.94
It: 8600, Loss: 1.505e-06, nu: 0.020, Time: 25.26
It: 8700, Loss: 1.483e-06, nu: 0.020, Time: 25.12
It: 8800, Loss: 1.480e-06, nu: 0.020, Time: 25.04
It: 8900, Loss: 1.474e-06, nu: 0.020, Time: 25.16
It: 9000, Loss: 1.465e-06, nu: 0.020, Time: 25.50
It: 9100, Loss: 1.449e-06, nu: 0.020, Time: 25.60
It: 9200, Loss: 1.438e-06, nu: 0.020, Time: 25.54
It: 9300, Loss: 1.420e-06, nu: 0.020, Time: 25.59
It: 9400, Loss: 1.423e-06, nu: 0.020, Time: 25.50
It: 9500, Loss: 1.415e-06, nu: 0.020, Time: 25.47
It: 9600, Loss: 1.394e-06, nu: 0.020, Time: 25.34
It: 9700, Loss: 1.387e-06, nu: 0.020, Time: 25.39
It: 9800, Loss: 1.394e-06, nu: 0.020, Time: 25.37
It: 9900, Loss: 1.373e-06, nu: 0.020, Time: 25.02
It: 10000, Loss: 1.364e-06, nu: 0.020, Time: 25.49
It: 10100, Loss: 1.361e-06, nu: 0.020, Time: 25.26
It: 10200, Loss: 1.355e-06, nu: 0.020, Time: 25.05
It: 10300, Loss: 1.343e-06, nu: 0.020, Time: 24.89
It: 10400, Loss: 1.336e-06, nu: 0.020, Time: 24.80
It: 10500, Loss: 1.327e-06, nu: 0.020, Time: 24.98
It: 10600, Loss: 1.322e-06, nu: 0.020, Time: 25.02
It: 10700, Loss: 1.318e-06, nu: 0.020, Time: 25.30
It: 10800, Loss: 1.304e-06, nu: 0.020, Time: 25.19
It: 10900, Loss: 1.293e-06, nu: 0.020, Time: 24.94
It: 11000, Loss: 1.295e-06, nu: 0.020, Time: 25.38
It: 11100, Loss: 1.284e-06, nu: 0.020, Time: 25.35
It: 11200, Loss: 1.293e-06, nu: 0.020, Time: 25.34
It: 11300, Loss: 1.283e-06, nu: 0.020, Time: 25.46
It: 11400, Loss: 1.278e-06, nu: 0.020, Time: 25.39
It: 11500, Loss: 1.275e-06, nu: 0.020, Time: 25.18
It: 11600, Loss: 1.258e-06, nu: 0.020, Time: 25.15
