torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.244e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.23
It: 100, Loss: 2.388e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.22
It: 200, Loss: 5.497e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.14
It: 300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.22
It: 400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.23
It: 500, Loss: 9.245e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.15
It: 600, Loss: 9.243e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.35
It: 700, Loss: 9.184e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.28
It: 800, Loss: 9.089e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.24
It: 900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.27
It: 1000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.24
It: 1100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.26
It: 1200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.30
It: 1300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.23
It: 1400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.24
It: 1500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.21
It: 1600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 1700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.25
It: 1800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.24
It: 1900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.22
It: 2000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 2100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.22
It: 2200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.23
