torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 1000, test points: 1000
It: 0, Loss: 8.994e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.16
It: 100, Loss: 1.710e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.08
It: 200, Loss: 8.780e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 300, Loss: 1.408e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.11
It: 400, Loss: 1.260e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 500, Loss: 1.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.01
It: 600, Loss: 1.038e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.09
It: 700, Loss: 9.973e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.13
It: 800, Loss: 1.010e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.92
It: 900, Loss: 9.918e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.86
It: 1000, Loss: 9.929e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.75
It: 1100, Loss: 1.009e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.80
It: 1200, Loss: 9.820e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.65
It: 1300, Loss: 9.788e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 1400, Loss: 9.833e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.87
It: 1500, Loss: 9.792e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.82
It: 1600, Loss: 9.794e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 1700, Loss: 9.899e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 1800, Loss: 9.772e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 1900, Loss: 9.872e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 2000, Loss: 9.823e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.87
It: 2100, Loss: 9.843e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.73
It: 2200, Loss: 1.024e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.76
It: 2300, Loss: 9.886e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 2400, Loss: 9.745e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.76
It: 2500, Loss: 9.803e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.75
It: 2600, Loss: 9.938e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.69
It: 2700, Loss: 9.774e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 2800, Loss: 9.807e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.67
It: 2900, Loss: 9.738e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 3000, Loss: 9.730e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.75
It: 3100, Loss: 9.746e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.82
It: 3200, Loss: 9.669e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.86
It: 3300, Loss: 1.228e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 3400, Loss: 7.803e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 3500, Loss: 8.021e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 3600, Loss: 5.115e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 3700, Loss: 4.231e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.80
It: 3800, Loss: 3.600e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.70
It: 3900, Loss: 2.202e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 4000, Loss: 1.433e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.85
It: 4100, Loss: 1.136e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 4200, Loss: 9.033e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.70
It: 4300, Loss: 7.865e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.98
It: 4400, Loss: 6.903e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.13
It: 4500, Loss: 6.830e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.15
It: 4600, Loss: 5.034e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.08
It: 4700, Loss: 5.607e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 4800, Loss: 5.134e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.13
It: 4900, Loss: 6.613e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 5000, Loss: 5.382e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.09
It: 5100, Loss: 5.337e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 5200, Loss: 3.910e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 5300, Loss: 3.417e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 5400, Loss: 4.664e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.98
